Category,Num_order,Revenue
bed_bath_table,9272,1692714.2800000086
health_beauty,8646,1620684.0400000084
computers_accessories,6529,1549252.4700000042
furniture_decor,6307,1394466.9300000106
watches_gifts,5493,1387046.3100000028
sports_leisure,7529,1349252.9299999934
housewares,5743,1069787.9699999972
auto,3809,833610.8400000002
garden_tools,3448,810614.9299999997
cool_stuff,3559,744649.3200000004
