Category,Num_order,Revenue
security_and_services,2,324.51
fashion_childrens_clothes,7,718.98
cds_dvds_musicals,12,1199.43
home_comfort_2,24,1710.5400000000004
flowers,29,2213.0100000000007
arts_and_craftmanship,23,2326.170000000001
la_cuisine,13,2913.5299999999997
fashion_sport,26,3605.8299999999995
diapers_and_hygiene,25,4126.169999999999
fashio_female_clothing,36,4902.669999999999
